PairID,Participant ID,Condition,Visualization,Distance,Dataset
Pair1,P1,Large Display,Search,36.53317867,Full Study 2
Pair1,P1,Large Display,WEATHER,33.24148347,Full Study 2
Pair1,P1,PerspectAR,Search,50.90447752,Full Study 1
Pair1,P1,PerspectAR,WEATHER,47.93709406,Full Study 1
Pair1,P2,Large Display,Search,37.49535482,Full Study 2
Pair1,P2,Large Display,WEATHER,31.03857799,Full Study 2
Pair1,P2,PerspectAR,Search,36.76153251,Full Study 1
Pair1,P2,PerspectAR,WEATHER,44.78724504,Full Study 1
Pair2,P1,Large Display,Search,50.86176328,Full Study 2
Pair2,P1,Large Display,WEATHER,22.74516644,Full Study 2
Pair2,P1,PerspectAR,Search,40.20016529,Full Study 1
Pair2,P1,PerspectAR,WEATHER,45.18017858,Full Study 1
Pair2,P2,Large Display,Search,38.91494833,Full Study 2
Pair2,P2,Large Display,WEATHER,23.28328682,Full Study 2
Pair2,P2,PerspectAR,Search,49.27814717,Full Study 1
Pair2,P2,PerspectAR,WEATHER,43.70299032,Full Study 1
Pair3,P1,Large Display,Search,26.83746129,Full Study 1
Pair3,P1,Large Display,WEATHER,36.82980929,Full Study 1
Pair3,P1,PerspectAR,Search,29.45127187,Full Study 2
Pair3,P1,PerspectAR,WEATHER,36.79216811,Full Study 2
Pair3,P2,Large Display,Search,22.85073184,Full Study 1
Pair3,P2,Large Display,WEATHER,35.0973275,Full Study 1
Pair3,P2,PerspectAR,Search,34.45148397,Full Study 2
Pair3,P2,PerspectAR,WEATHER,48.07723846,Full Study 2
Pair4,P1,Large Display,Search,24.33653682,Full Study 1
Pair4,P1,Large Display,WEATHER,37.27047913,Full Study 1
Pair4,P1,PerspectAR,Search,36.77441104,Full Study 2
Pair4,P1,PerspectAR,WEATHER,42.25029504,Full Study 2
Pair4,P2,Large Display,Search,21.01080554,Full Study 1
Pair4,P2,Large Display,WEATHER,40.99273205,Full Study 1
Pair4,P2,PerspectAR,Search,36.96570353,Full Study 2
Pair4,P2,PerspectAR,WEATHER,45.91146754,Full Study 2
Pair5,P1,Large Display,Search,50.69415994,Full Study 1
Pair5,P1,Large Display,WEATHER,55.20546889,Full Study 1
Pair5,P1,PerspectAR,Search,30.40540472,Full Study 2
Pair5,P1,PerspectAR,WEATHER,38.96742046,Full Study 2
Pair5,P2,Large Display,Search,46.21645149,Full Study 1
Pair5,P2,Large Display,WEATHER,65.26838459,Full Study 1
Pair5,P2,PerspectAR,Search,33.21759649,Full Study 2
Pair5,P2,PerspectAR,WEATHER,34.95160953,Full Study 2
Pair6,P1,Large Display,Search,49.07242025,Full Study 1
