PairID,Condition,ParticipantID,Visualization,Dataset,NearTime,FarTime,LeftTime,RightTime,TotalTime
Pair1,Large Display,P1,Search,Full Study 2,233,419,326,326,652
Pair1,Large Display,P1,Weather,Full Study 2,168,335,265,238,503
Pair1,Large Display,P2,Search,Full Study 2,165,486,269,382,651
Pair1,Large Display,P2,Weather,Full Study 2,346,158,283,221,504
Pair1,PerspectAR,P1,Search,Full Study 1,296,440,387,349,736
Pair1,PerspectAR,P1,Weather,Full Study 1,532,362,471,423,894
Pair1,PerspectAR,P2,Search,Full Study 1,240,531,607,164,771
Pair1,PerspectAR,P2,Weather,Full Study 1,419,473,661,231,892
Pair2,Large Display,P1,Search,Full Study 2,437,466,449,454,903
Pair2,Large Display,P1,Weather,Full Study 2,179,138,155,162,317
Pair2,Large Display,P2,Search,Full Study 2,409,280,330,359,689
Pair2,Large Display,P2,Weather,Full Study 2,155,161,189,127,316
Pair2,PerspectAR,P1,Search,Full Study 1,758,424,572,610,1182
Pair2,PerspectAR,P1,Weather,Full Study 1,281,443,446,278,724
Pair2,PerspectAR,P2,Search,Full Study 1,814,368,569,613,1182
Pair2,PerspectAR,P2,Weather,Full Study 1,345,381,336,390,726
Pair3,Large Display,P1,Search,Full Study 1,285,189,308,166,474
Pair3,Large Display,P1,Weather,Full Study 1,467,142,324,285,609
Pair3,Large Display,P2,Search,Full Study 1,192,282,219,255,474
Pair3,Large Display,P2,Weather,Full Study 1,282,327,331,278,609
Pair3,PerspectAR,P1,Search,Full Study 2,444,218,418,244,662
Pair3,PerspectAR,P1,Weather,Full Study 2,540,359,478,421,899
Pair3,PerspectAR,P2,Search,Full Study 2,291,371,345,317,662
Pair3,PerspectAR,P2,Weather,Full Study 2,432,467,313,586,899
Pair4,Large Display,P1,Search,Full Study 1,240,194,235,199,434
Pair4,Large Display,P1,Weather,Full Study 1,315,295,253,357,610
Pair4,Large Display,P2,Search,Full Study 1,192,242,201,233,434
Pair4,Large Display,P2,Weather,Full Study 1,301,309,392,218,610
Pair4,PerspectAR,P1,Search,Full Study 2,417,414,511,320,831
Pair4,PerspectAR,P1,Weather,Full Study 2,511,516,494,533,1027
Pair4,PerspectAR,P2,Search,Full Study 2,244,586,395,435,830
Pair4,PerspectAR,P2,Weather,Full Study 2,447,581,602,426,1028
Pair5,Large Display,P1,Search,Full Study 1,383,493,419,457,876
Pair5,Large Display,P1,Weather,Full Study 1,490,552,423,619,1042
Pair5,Large Display,P2,Search,Full Study 1,439,438,323,554,877
Pair5,Large Display,P2,Weather,Full Study 1,613,423,530,506,1036
Pair5,PerspectAR,P1,Search,Full Study 2,246,377,334,289,623
Pair5,PerspectAR,P1,Weather,Full Study 2,390,301,352,339,691
Pair5,PerspectAR,P2,Search,Full Study 2,377,247,424,200,624
Pair5,PerspectAR,P2,Weather,Full Study 2,408,283,450,241,691
Pair6,Large Display,P1,Search,Full Study 1,240,409,360,289,649
Pair6,Large Display,P1,Weather,Full Study 1,339,452,278,513,791
Pair6,Large Display,P2,Search,Full Study 1,292,357,296,353,649
Pair6,Large Display,P2,Weather,Full Study 1,497,293,543,247,790
Pair6,PerspectAR,P1,Search,Full Study 2,161,443,287,317,604
Pair6,PerspectAR,P1,Weather,Full Study 2,210,231,156,285,441
Pair6,PerspectAR,P2,Search,Full Study 2,257,347,291,313,604
Pair6,PerspectAR,P2,Weather,Full Study 2,253,188,230,211,441
Pair7,Large Display,P1,Search,Full Study 2,141,542,416,267,683
Pair7,Large Display,P1,Weather,Full Study 2,456,717,449,724,1173
Pair7,Large Display,P2,Search,Full Study 2,77,605,388,294,682
Pair7,Large Display,P2,Weather,Full Study 2,548,625,609,564,1173
Pair7,PerspectAR,P1,Search,Full Study 1,469,427,648,248,896
Pair7,PerspectAR,P1,Weather,Full Study 1,312,430,354,388,742
Pair7,PerspectAR,P2,Search,Full Study 1,359,536,582,313,895
Pair7,PerspectAR,P2,Weather,Full Study 1,320,423,407,336,743
Pair8,Large Display,P1,Search,Full Study 2,368,463,418,413,831
Pair8,Large Display,P1,Weather,Full Study 2,688,531,789,430,1219
Pair8,Large Display,P2,Search,Full Study 2,317,515,444,388,832
Pair8,Large Display,P2,Weather,Full Study 2,578,640,551,667,1218
Pair8,PerspectAR,P1,Search,Full Study 1,335,540,546,329,875
Pair8,PerspectAR,P1,Weather,Full Study 1,770,229,606,393,999
Pair8,PerspectAR,P2,Search,Full Study 1,356,519,501,374,875
Pair8,PerspectAR,P2,Weather,Full Study 1,628,371,664,335,999
Pair9,Large Display,P1,Search,Full Study 2,218,491,270,439,709
Pair9,Large Display,P1,Weather,Full Study 2,416,738,572,582,1154
Pair9,Large Display,P2,Search,Full Study 2,181,529,353,357,710
Pair9,Large Display,P2,Weather,Full Study 2,316,854,853,317,1170
Pair9,PerspectAR,P1,Search,Full Study 1,220,583,443,360,803
Pair9,PerspectAR,P1,Weather,Full Study 1,386,542,578,350,928
Pair9,PerspectAR,P2,Search,Full Study 1,210,594,489,315,804
Pair9,PerspectAR,P2,Weather,Full Study 1,278,650,333,595,928
Pair10,Large Display,P1,Search,Full Study 2,592,289,394,487,881
Pair10,Large Display,P1,Weather,Full Study 2,612,247,489,370,859
Pair10,Large Display,P2,Search,Full Study 2,463,417,498,382,880
Pair10,Large Display,P2,Weather,Full Study 2,422,436,366,492,858
Pair10,PerspectAR,P1,Search,Full Study 1,353,269,234,388,622
Pair10,PerspectAR,P1,Weather,Full Study 1,350,228,241,337,578
Pair10,PerspectAR,P2,Search,Full Study 1,321,301,332,290,622
Pair10,PerspectAR,P2,Weather,Full Study 1,364,214,326,252,578
Pair11,Large Display,P1,Search,Full Study 2,440,329,330,439,769
Pair11,Large Display,P1,Weather,Full Study 2,510,290,443,357,800
Pair11,Large Display,P2,Search,Full Study 2,185,584,434,335,769
Pair11,Large Display,P2,Weather,Full Study 2,370,430,348,452,800
Pair11,PerspectAR,P1,Search,Full Study 1,653,657,613,697,1310
Pair11,PerspectAR,P1,Weather,Full Study 1,886,538,665,759,1424
Pair11,PerspectAR,P2,Search,Full Study 1,404,907,790,521,1311
Pair11,PerspectAR,P2,Weather,Full Study 1,531,894,767,658,1425
Pair12,Large Display,P1,Search,Full Study 1,294,466,478,282,760
Pair12,Large Display,P1,Weather,Full Study 1,595,350,467,478,945
Pair12,Large Display,P2,Search,Full Study 1,153,607,492,268,760
Pair12,Large Display,P2,Weather,Full Study 1,474,471,632,313,945
Pair12,PerspectAR,P1,Search,Full Study 2,874,380,912,342,1254
Pair12,PerspectAR,P1,Weather,Full Study 2,568,584,642,510,1152
Pair12,PerspectAR,P2,Search,Full Study 2,779,475,610,644,1254
Pair12,PerspectAR,P2,Weather,Full Study 2,609,543,663,489,1152
