Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Date,Data Quality,valueMax,Max Temp Flag,valueMin,Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-01,2007,1,1,2007-01-01,,8.6,,-8.3,,0.2,,17.8,,0,,0,,0,,0,,4,,27,E,48,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-02,2007,1,2,2007-01-02,,11,,0,,5.5,,12.5,,0,,0,,0,,0,,0,T,25,E,74,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-03,2007,1,3,2007-01-03,,6.6,,-1.4,,2.6,,15.4,,0,,0,,0,,0,,0,T,24,E,54,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-04,2007,1,4,2007-01-04,,4,,-3.8,,0.1,,17.9,,0,,0,,0.4,,0.4,,0,,29,E,35,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-05,2007,1,5,2007-01-05,,1.2,,-10.6,,-4.7,,22.7,,0,,0,,0,T,0,T,0,T,26,E,70,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-06,2007,1,6,2007-01-06,,1.7,,-4.9,,-1.6,,19.6,,0,,0,,0,T,0,T,0,T,28,E,48,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-07,2007,1,7,2007-01-07,,5.1,,-6.8,,-0.9,,18.9,,0,,0,,0,,0,,0,,26,E,85,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-08,2007,1,8,2007-01-08,,3.5,,-5.8,,-1.2,,19.2,,0,,0,,0,,0,,0,,34,E,65,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-09,2007,1,9,2007-01-09,,4.4,,-12.7,,-4.2,,22.2,,0,,0,,0,,0,,0,,19,E,44,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-10,2007,1,10,2007-01-10,,0.9,,-20.2,,-9.7,,27.7,,0,,0,,0.6,,0.6,,0,,34,E,74,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-11,2007,1,11,2007-01-11,,-16,,-26.1,,-21.1,,39.1,,0,,0,,0,T,0,T,0,,35,E,54,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-12,2007,1,12,2007-01-12,,-5,,-19.6,,-12.3,,30.3,,0,,0,,0,,0,,0,T,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-13,2007,1,13,2007-01-13,,-7.7,,-18,,-12.9,,30.9,,0,,0,,2,,1.2,,0,T,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-14,2007,1,14,2007-01-14,,-3.1,,-19.8,,-11.5,,29.5,,0,,0,,0,T,0,T,2,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-15,2007,1,15,2007-01-15,,4.9,,-11.6,,-3.4,,21.4,,0,,0,,0,,0,,2,,27,E,32,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-16,2007,1,16,2007-01-16,,5.5,,-5.8,,-0.2,,18.2,,0,,0,,0,,0,,2,,27,E,46,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-17,2007,1,17,2007-01-17,,-3.1,,-15.4,,-9.3,,27.3,,0,,0,,6,,3,,6,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-18,2007,1,18,2007-01-18,,-0.1,,-21,,-10.6,,28.6,,0,,0,,0,,0,,6,,27,E,41,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-19,2007,1,19,2007-01-19,,4.8,,-9.4,,-2.3,,20.3,,0,,0,,0,,0,,6,,27,E,52,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-20,2007,1,20,2007-01-20,,-1,,-8.8,,-4.9,,22.9,,0,,0,,0,,0,,5,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-21,2007,1,21,2007-01-21,,3.4,,-12.8,,-4.7,,22.7,,0,,0,,0,,0,,4,,27,E,46,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-22,2007,1,22,2007-01-22,,7.9,,1.6,,4.8,,13.2,,0,,0.2,,0,,0.2,,2,,28,E,61,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-23,2007,1,23,2007-01-23,,9.3,,-0.2,,4.6,,13.4,,0,,0,,0,,0,,0,T,27,E,52,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-24,2007,1,24,2007-01-24,,11.6,,-0.1,,5.8,,12.2,,0,,0,,0,,0,,0,,27,E,65,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-25,2007,1,25,2007-01-25,,13.1,,-5.2,,4,,14,,0,,0,,0,,0,,0,,27,E,56,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-26,2007,1,26,2007-01-26,,0.1,,-11.8,,-5.9,,23.9,,0,,0,,0,,0,,0,,34,E,48,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-27,2007,1,27,2007-01-27,,5,,-14.2,,-4.6,,22.6,,0,,0,,0,,0,,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-28,2007,1,28,2007-01-28,,2,,-9.7,,-3.9,,21.9,,0,,0,,0,,0,,0,,35,E,46,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-29,2007,1,29,2007-01-29,,-2.7,,-14,,-8.4,,26.4,,0,,0,,0,,0,,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-30,2007,1,30,2007-01-30,,2.9,,-9.5,,-3.3,,21.3,,0,,0,,0,T,0,T,0,,34,E,74,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-01-31,2007,1,31,2007-01-31,,-1.7,,-10.8,,-6.3,,24.3,,0,,0,,3.2,,2.2,,0,,34,E,65,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-01,2007,2,1,2007-02-01,,-5.1,,-17.3,,-11.2,,29.2,,0,,0,,2,,1.8,,4,,35,E,72,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-02,2007,2,2,2007-02-02,,-6.3,,-12.6,,-9.5,,27.5,,0,,0,,3.4,,2.2,,4,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-03,2007,2,3,2007-02-03,,-3.4,,-16,,-9.7,,27.7,,0,,0,,0,,0,,7,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-04,2007,2,4,2007-02-04,,6.7,,-10.9,,-2.1,,20.1,,0,,0,,0,,0,,7,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-05,2007,2,5,2007-02-05,,10.9,,-8.5,,1.2,,16.8,,0,,0,,0,,0,,5,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-06,2007,2,6,2007-02-06,,1.5,,-11.7,,-5.1,,23.1,,0,,0,T,0.6,,0.6,,1,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-07,2007,2,7,2007-02-07,,-11.4,,-14.9,,-13.2,,31.2,,0,,0,T,5.2,,0.8,,1,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-08,2007,2,8,2007-02-08,,-13.9,,-18.1,,-16,,34,,0,,0,,6.8,,5.2,,6,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-09,2007,2,9,2007-02-09,,-15.5,,-19.1,,-17.3,,35.3,,0,,0,,1.2,,1.2,,13,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-10,2007,2,10,2007-02-10,,-10.5,,-20.5,,-15.5,,33.5,,0,,0,,0.2,,0.2,,12,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-11,2007,2,11,2007-02-11,,-14.1,,-20.7,,-17.4,,35.4,,0,,0,,4.6,,3.4,,12,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-12,2007,2,12,2007-02-12,,-16.5,,-20.1,,-18.3,,36.3,,0,,0,,4,,2.6,,16,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-13,2007,2,13,2007-02-13,,-18.8,,-24.3,,-21.6,,39.6,,0,,0,,2.4,,1.8,,19,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-14,2007,2,14,2007-02-14,,2.9,,-25,,-11.1,,29.1,,0,,0,,0,T,0,T,19,,27,E,48,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-15,2007,2,15,2007-02-15,,6.7,,-1.3,,2.7,,15.3,,0,,0,,0,,0,,16,,27,E,59,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-16,2007,2,16,2007-02-16,,5.4,,-3.2,,1.1,,16.9,,0,,0,,0,,0,,7,,27,E,41,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-17,2007,2,17,2007-02-17,,6.8,,-6.1,,0.4,,17.6,,0,,0,,0,,0,,2,,27,E,54,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-18,2007,2,18,2007-02-18,,4.8,,-5.7,,-0.5,,18.5,,0,,0,T,0,,0,T,0,T,27,E,74,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-19,2007,2,19,2007-02-19,,3.9,,-8.6,,-2.4,,20.4,,0,,0,,0,,0,,0,T,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-20,2007,2,20,2007-02-20,,3.9,,-7.8,,-2,,20,,0,,0,,0,T,0,T,0,T,1,E,35,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-21,2007,2,21,2007-02-21,,2.7,,-8.4,,-2.9,,20.9,,0,,0,,0,,0,,0,T,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-22,2007,2,22,2007-02-22,,-5,,-15.4,,-10.2,,28.2,,0,,0,,1.2,,0.4,,0,T,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-23,2007,2,23,2007-02-23,,-0.6,,-11.1,,-5.9,,23.9,,0,,0,,0,T,0,T,1,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-24,2007,2,24,2007-02-24,,0.5,,-14.2,,-6.9,,24.9,,0,,0,,0,,0,,1,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-25,2007,2,25,2007-02-25,,-2.1,,-12.6,,-7.4,,25.4,,0,,0,,0.4,,0.4,,1,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-26,2007,2,26,2007-02-26,,-5.3,,-11.8,,-8.6,,26.6,,0,,0,,1.6,,1.2,,2,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-27,2007,2,27,2007-02-27,,-9.9,,-14.3,,-12.1,,30.1,,0,,0,,2.4,,1,,3,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-02-28,2007,2,28,2007-02-28,,-8.5,,-12.5,,-10.5,,28.5,,0,,0,,5,,2.2,,5,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-01,2007,3,1,2007-03-01,,-8.7,,-12.4,,-10.6,,28.6,,0,,0,,3.8,,1.2,,8,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-02,2007,3,2,2007-03-02,,-7.3,,-11.4,,-9.4,,27.4,,0,,0,,0,T,0,T,11,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-03,2007,3,3,2007-03-03,,8.4,,-11.1,,-1.4,,19.4,,0,,0,,0,,0,,11,,27,E,56,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-04,2007,3,4,2007-03-04,,8.8,,-4.7,,2.1,,15.9,,0,,0,,0,,0,,0,T,26,E,35,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-05,2007,3,5,2007-03-05,,6.3,,-7.7,,-0.7,,18.7,,0,,0,,0,,0,,0,T,,,,
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-06,2007,3,6,2007-03-06,,9.2,,-6.9,,1.2,,16.8,,0,,0,,0,,0,,0,T,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-07,2007,3,7,2007-03-07,,14.9,,-1.3,,6.8,,11.2,,0,,0,,0,,0,,0,T,26,E,35,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-08,2007,3,8,2007-03-08,,7.6,,-0.6,,3.5,,14.5,,0,,0,,0,,0,,0,T,26,E,59,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-09,2007,3,9,2007-03-09,,10.1,,-1.3,,4.4,,13.6,,0,,0,,0,,0,,0,,26,E,54,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-10,2007,3,10,2007-03-10,,13,,-3.5,,4.8,,13.2,,0,,0,,0,,0,,0,,28,E,33,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-11,2007,3,11,2007-03-11,,16.2,,1.3,,8.8,,9.2,,0,,0,,0,,0,,0,,25,E,54,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-12,2007,3,12,2007-03-12,,15.9,,-3.9,,6,,12,,0,,0.4,,3.4,,2.2,,0,,24,E,74,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-13,2007,3,13,2007-03-13,,0.2,,-9.7,,-4.8,,22.8,,0,,0,,5.4,,2.8,,6,,21,E,33,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-14,2007,3,14,2007-03-14,,0.3,,-9.7,,-4.7,,22.7,,0,,0,,0.4,,0.6,,8,,33,E,35,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-15,2007,3,15,2007-03-15,,1.4,,-13.1,,-5.9,,23.9,,0,,0,,0,T,0,T,9,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-16,2007,3,16,2007-03-16,,4.4,,-5.2,,-0.4,,18.4,,0,,0,,0,,0,,9,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-17,2007,3,17,2007-03-17,,15.5,,-2.4,,6.6,,11.4,,0,,0,,0,,0,,4,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-18,2007,3,18,2007-03-18,,8.6,,-7,,0.8,,17.2,,0,,0,T,0.6,,0.6,,0,T,35,E,50,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-19,2007,3,19,2007-03-19,,3.8,,-7,,-1.6,,19.6,,0,,0,,0.2,,0.2,,1,,16,E,44,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-20,2007,3,20,2007-03-20,,9.2,,-4.9,,2.2,,15.8,,0,,0,,2.2,,1.6,,0,T,35,E,67,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-21,2007,3,21,2007-03-21,,4.8,,-6.2,,-0.7,,18.7,,0,,0,,5,,2.6,,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-22,2007,3,22,2007-03-22,,12,,0.9,,6.5,,11.5,,0,,0,,0,,0,,0,T,28,E,50,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-23,2007,3,23,2007-03-23,,15.4,,0,,7.7,,10.3,,0,,0,,0,,0,,0,,20,E,32,E
-114.02,51.11,CALGARY INT'L A,3031093,2007-03-24,2007,3,24,2007-03-24,,16.6,,1.1,,8.9,,9.1,,0,,0,,0,,0,,0,,25,E,39,E
