Longitude (x),Latitude (y),Station Name,Climate ID,Date,Year,Month,Day,Data Quality,valueMax,Max Temp Flag,valueMin,Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-114,51.11,CALGARY INT'L CS,3031094,2019-01-01,2019,1,1,,5.7,,-12.2,,-3.3,,21.3,,0,,,,,,0.2,,3,,29,,44,
-114,51.11,CALGARY INT'L CS,3031094,2019-01-02,2019,1,2,,10.3,,4.9,,7.6,,10.4,,0,,,,,,0,,2,,27,,70,
-114,51.11,CALGARY INT'L CS,3031094,2019-01-03,2019,1,3,,9.7,,-2.4,,3.7,,14.3,,0,,,,,,0.5,,0,,27,,62,
-114,51.11,CALGARY INT'L CS,3031094,2019-01-04,2019,1,4,,8.8,,-6.5,,1.2,,16.8,,0,,,,,,0,,0,,23,,66,
-114,51.11,CALGARY INT'L CS,3031094,2019-01-05,2019,1,5,,-5,,-10,,-7.5,,25.5,,0,,,,,,0,,0,,,,,
-114,51.11,CALGARY INT'L CS,3031094,2019-01-06,2019,1,6,,5.1,,-7.2,,-1,,19,,0,,,,,,0,,,,27,,53,
-114,51.11,CALGARY INT'L CS,3031094,2019-01-07,2019,1,7,,-6,,-13.3,,-9.6,,27.6,,0,,,,,,0.7,,,,32,,31,
-114,51.11,CALGARY INT'L CS,3031094,2019-01-08,2019,1,8,,-6.4,,-15,,-10.7,,28.7,,0,,,,,,0.2,,,,15,,33,
-114,51.11,CALGARY INT'L CS,3031094,2019-01-09,2019,1,9,,-4.9,,-11.7,,-8.3,,26.3,,0,,,,,,0,,0,,,,,
-114,51.11,CALGARY INT'L CS,3031094,2019-01-10,2019,1,10,,9.9,,-11.9,,-1,,19,,0,,,,,,0,,,,,,,
-114,51.11,CALGARY INT'L CS,3031094,2019-01-11,2019,1,11,,7.4,,-10.3,,-1.4,,19.4,,0,,,,,,0,,,,25,,35,
-114,51.11,CALGARY INT'L CS,3031094,2019-01-12,2019,1,12,,9.4,,-4.4,,2.5,,15.5,,0,,,,,,0.5,,0,,,,,
-114,51.11,CALGARY INT'L CS,3031094,2019-01-13,2019,1,13,,10.1,,-6.2,,1.9,,16.1,,0,,,,,,0.3,,,,,,,
-114,51.11,CALGARY INT'L CS,3031094,2019-01-14,2019,1,14,,9.7,,-8.3,,0.7,,17.3,,0,,,,,,0.6,,,,,,,
-114,51.11,CALGARY INT'L CS,3031094,2019-01-15,2019,1,15,,-2.8,,-10.3,,-6.6,,24.6,,0,,,,,,0.2,,,,,,,
-114,51.11,CALGARY INT'L CS,3031094,2019-01-16,2019,1,16,,-5.7,,-8.2,,-6.9,,24.9,,0,,,,,,1.5,,0,,,,,
-114,51.11,CALGARY INT'L CS,3031094,2019-01-17,2019,1,17,,-8.2,,-16.8,,-12.5,,30.5,,0,,,,,,1.7,,3,,,,,
