Longitude (x),Latitude (y),Station Name,Climate ID,Date,Year,Month,Day,Data Quality,valueMax,Max Temp Flag,valueMin,Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2007-01-01,2007,1,1,,5.9,,-2.4,,1.8,,16.2,,0,,10.6,,0,T,10.6,,9,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2007-01-02,2007,1,2,,4.3,,-2.4,,1,,17,,0,,0,T,0,,0,T,0,T,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2007-01-03,2007,1,3,,5.9,,0.2,,3.1,,14.9,,0,,0,,0,,0,,0,T,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2007-01-04,2007,1,4,,9.6,,0.5,,5.1,,12.9,,0,,0.6,,0,,0.6,,0,T,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2007-01-05,2007,1,5,,9.8,,4.4,,7.1,,10.9,,0,,14.2,,0,,14.2,,0,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2007-01-06,2007,1,6,,11.4,,2.9,,7.2,,10.8,,0,,9.4,,0,,9.4,,0,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2007-01-07,2007,1,7,,4.4,,0.5,,2.5,,15.5,,0,,1,,1,,2.8,,0,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2007-01-08,2007,1,8,,6,,0.4,,3.2,,14.8,,0,,9,,2.8,,13.6,,3,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2007-01-09,2007,1,9,,1.7,,-4.7,,-1.5,,19.5,,0,,0,,0.2,,0.2,,0,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2007-01-10,2007,1,10,,-4.7,,-12.6,,-8.7,,26.7,,0,,0,,0.4,,0.2,,0,T,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2007-01-11,2007,1,11,,0.6,,-12.7,,-6.1,,24.1,,0,,0,,0.2,,0.2,,0,T,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2007-01-12,2007,1,12,,4.8,,0.5,,2.7,,15.3,,0,,0.6,,3.8,,4.4,,0,T,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2007-01-13,2007,1,13,,4.4,,-9.1,,-2.4,,20.4,,0,,0,T,0,T,0,T,0,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2007-01-14,2007,1,14,,-3.3,,-9.2,,-6.3,,24.3,,0,,0,,0,,0,,0,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2007-01-15,2007,1,15,,-5.5,,-10.1,,-7.8,,25.8,,0,,0,,19.6,,18.6,,0,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2007-01-16,2007,1,16,,-9.5,,-22,,-15.8,,33.8,,0,,0,,2,,0.8,,15,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2007-01-17,2007,1,17,,-12.3,,-24.1,,-18.2,,36.2,,0,,0,,0,T,0,T,11,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2007-01-18,2007,1,18,,-2.8,,-13.2,,-8,,26,,0,,0,,0,T,0,T,11,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2007-01-19,2007,1,19,,-1.2,,-4.7,,-3,,21,,0,,0,,1.6,,1.6,,10,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2007-01-20,2007,1,20,,-3.9,,-17,,-10.5,,28.5,,0,,0,,0.2,,0.2,,10,,,,,
