Longitude (x),Latitude (y),Station Name,Climate ID,Date,Year,Month,Day,Data Quality,valueMax,Max Temp Flag,valueMin,Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.63,43.68,TORONTO INTL A,6158731,2022-01-01,2022,1,1,,4.5,,-3.2,,0.7,,17.3,,0,,0.2,,2.8,,2.4,,3,E,35,,46,
-79.63,43.68,TORONTO INTL A,6158731,2022-01-02,2022,1,2,,-2.9,,-12.3,,-7.6,,25.6,,0,,0,,2.6,,1.4,,3,,36,,52,
-79.63,43.68,TORONTO INTL A,6158731,2022-01-03,2022,1,3,,-6.6,,-15.1,,-10.9,,28.9,,0,,0,,0,,0,,5,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2022-01-04,2022,1,4,,2.5,,-7.8,,-2.7,,20.7,,0,,0,,0,,0,,,,24,,33,
-79.63,43.68,TORONTO INTL A,6158731,2022-01-05,2022,1,5,,4.1,,-5.8,,-0.9,,18.9,,0,,0.8,,0,T,0.8,,1,,23,,68,
-79.63,43.68,TORONTO INTL A,6158731,2022-01-06,2022,1,6,,,M,,M,,M,,M,,M,0,,0,T,0,T,0,T,24,,48,
-79.63,43.68,TORONTO INTL A,6158731,2022-01-07,2022,1,7,,,M,,M,,M,,M,,M,0,,0,T,0,T,0,T,31,,52,
-79.63,43.68,TORONTO INTL A,6158731,2022-01-08,2022,1,8,,0.6,,-15,,-7.2,,25.2,,0,,0,,0,T,0,T,0,T,17,,39,
-79.63,43.68,TORONTO INTL A,6158731,2022-01-09,2022,1,9,,3.6,,-7.9,,-2.2,,20.2,,0,,0,,0,T,0,T,0,T,27,,64,
-79.63,43.68,TORONTO INTL A,6158731,2022-01-10,2022,1,10,,-7.1,,-18.5,,-12.8,,30.8,,0,,0,,0.2,,0.2,,0,T,28,,62,
-79.63,43.68,TORONTO INTL A,6158731,2022-01-11,2022,1,11,,-3.9,,-21.1,,-12.5,,30.5,,0,,0,,0.2,,0.2,,0,T,20,,42,
-79.63,43.68,TORONTO INTL A,6158731,2022-01-12,2022,1,12,,1.8,,-3.8,,-1,,19,,0,,0,,0,T,0,T,0,T,24,,45,
-79.63,43.68,TORONTO INTL A,6158731,2022-01-13,2022,1,13,,0.9,,-3.6,,-1.4,,19.4,,0,,0,,0,T,0,T,0,T,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2022-01-14,2022,1,14,,-1.6,,-19.1,,-10.4,,28.4,,0,,0,,0,,0,,,,1,,43,
-79.63,43.68,TORONTO INTL A,6158731,2022-01-15,2022,1,15,,-13.1,,-21.1,,-17.1,,35.1,,0,,0,,0,T,0,T,0,T,1,,37,
-79.63,43.68,TORONTO INTL A,6158731,2022-01-16,2022,1,16,,-1.4,,-15.5,,-8.5,,26.5,,0,,0,,5.2,,3.6,,0,T,14,,36,
-79.63,43.68,TORONTO INTL A,6158731,2022-01-17,2022,1,17,,-2.8,,-6,,-4.4,,22.4,,0,,0,,29.2,,28.8,,15,,,,,M
-79.63,43.68,TORONTO INTL A,6158731,2022-01-18,2022,1,18,,-1,,-11.5,,-6.3,,24.3,,0,,0,,1.2,,1.2,,32,,28,,43,
-79.63,43.68,TORONTO INTL A,6158731,2022-01-19,2022,1,19,,3.8,,-8.9,,-2.6,,20.6,,0,,0,,0,T,0,T,30,,25,,64,
-79.63,43.68,TORONTO INTL A,6158731,2022-01-20,2022,1,20,,-8.8,,-18.7,,-13.8,,31.8,,0,,0,,0,T,0,T,25,,31,,40,
-79.63,43.68,TORONTO INTL A,6158731,2022-01-21,2022,1,21,,-9.8,,-20,,-14.9,,32.9,,0,,0,,0,T,0,T,23,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2022-01-22,2022,1,22,,-4.6,,-18.8,,-11.7,,29.7,,0,,0,,0.4,,0.4,,21,,22,,44,
-79.63,43.68,TORONTO INTL A,6158731,2022-01-23,2022,1,23,,-5.2,,-17.8,,-11.5,,29.5,,0,,0,,0,T,0,T,20,,34,,39,
-79.63,43.68,TORONTO INTL A,6158731,2022-01-24,2022,1,24,,-5.5,,-17.7,,-11.6,,29.6,,0,,0,,5.6,,3.6,,18,,15,,37,
-79.63,43.68,TORONTO INTL A,6158731,2022-01-25,2022,1,25,,-7.3,,-15.4,,-11.4,,29.4,,0,,0,,0,,0,,21,,31,,40,
-79.63,43.68,TORONTO INTL A,6158731,2022-01-26,2022,1,26,,,M,,M,,M,,M,,M,0,,0,T,0,T,20,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2022-01-27,2022,1,27,,-3.9,,-13.9,,-8.9,,26.9,,0,,0,,0.4,,0.4,,20,,21,,41,
-79.63,43.68,TORONTO INTL A,6158731,2022-01-28,2022,1,28,,-4.3,,-18,,-11.2,,29.2,,0,,0,,0,,0,,20,,36,,50,
-79.63,43.68,TORONTO INTL A,6158731,2022-01-29,2022,1,29,,-11.5,,-21.2,,-16.4,,34.4,,0,,0,,0,,0,,20,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2022-01-30,2022,1,30,,-4.9,,-14.8,,-9.9,,27.9,,0,,0,,0,,0,,19,,23,,31,
-79.63,43.68,TORONTO INTL A,6158731,2022-01-31,2022,1,31,,-0.9,,-7,,-4,,22,,0,,0,,0,,0,,18,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2022-02-01,2022,2,1,,4.7,,-9.1,,-2.2,,20.2,,0,,0,T,0,,0,T,8,E,20,,42,
-79.63,43.68,TORONTO INTL A,6158731,2022-02-02,2022,2,2,,4.6,,-3,,0.8,,17.2,,0,,5.4,,8,,11.4,,8,,35,,47,
-79.63,43.68,TORONTO INTL A,6158731,2022-02-03,2022,2,3,,-3,,-10.5,,-6.8,,24.8,,0,,0,,7.2,,4.2,,15,,35,,44,
-79.63,43.68,TORONTO INTL A,6158731,2022-02-04,2022,2,4,,-10.5,,-14,,-12.3,,30.3,,0,,0,,0.4,,0.4,,21,,1,,37,
-79.63,43.68,TORONTO INTL A,6158731,2022-02-05,2022,2,5,,-7.2,,-15.4,,-11.3,,29.3,,0,,0,,0,T,0,T,19,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2022-02-06,2022,2,6,,-0.2,,-7.2,,-3.7,,21.7,,0,,0,,0,,0,,17,,20,,46,
-79.63,43.68,TORONTO INTL A,6158731,2022-02-07,2022,2,7,,,M,,M,,M,,M,,M,,M,,M,,M,16,,26,,36,
-79.63,43.68,TORONTO INTL A,6158731,2022-02-08,2022,2,8,,-0.4,,-5.5,,-3,,21,,0,,0,,0,T,0,T,15,,25,,42,
-79.63,43.68,TORONTO INTL A,6158731,2022-02-09,2022,2,9,,6,,-5.5,,0.3,,17.7,,0,,0,,0,,0,,14,,22,,46,
-79.63,43.68,TORONTO INTL A,6158731,2022-02-10,2022,2,10,,2.8,,-0.8,,1,,17,,0,,0,,0,T,0,T,11,,27,,48,
-79.63,43.68,TORONTO INTL A,6158731,2022-02-11,2022,2,11,,3.5,,-1.4,,1.1,,16.9,,0,,4.8,,0.2,,5,,10,,21,,48,
-79.63,43.68,TORONTO INTL A,6158731,2022-02-12,2022,2,12,,2.5,,-13.5,,-5.5,,23.5,,0,,0.8,,1,,1.8,,8,,28,,60,
-79.63,43.68,TORONTO INTL A,6158731,2022-02-13,2022,2,13,,-9.2,,-16.6,,-12.9,,30.9,,0,,0,,0.2,,0.2,,5,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2022-02-14,2022,2,14,,-9.6,,-16.5,,-13.1,,31.1,,0,,0,,0,,0,,5,,29,,35,
-79.63,43.68,TORONTO INTL A,6158731,2022-02-15,2022,2,15,,-3.3,,-11.3,,-7.3,,25.3,,0,,0,,0,T,0,T,5,,24,,40,
