Longitude (x),Latitude (y),Station Name,Climate ID,Date,Year,Month,Day,Data Quality,valueMax,Max Temp Flag,valueMin,Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-123.18,49.19,VANCOUVER INTL A,1108395,2014-01-01,2014,1,1,,6.5,,3,,4.8,,13.2,,0,,0.8,,0,,0.8,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2014-01-02,2014,1,2,,7.5,,5.2,,6.4,,11.6,,0,,13.8,,0,,13.8,,,,28,,80,
-123.18,49.19,VANCOUVER INTL A,1108395,2014-01-03,2014,1,3,,6.8,,0.5,,3.7,,14.3,,0,,0,,0,,0,,,,28,,76,
-123.18,49.19,VANCOUVER INTL A,1108395,2014-01-04,2014,1,4,,4.9,,-2.9,,1,,17,,0,,0,,0,,0,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2014-01-05,2014,1,5,,4.7,,-3.4,,0.7,,17.3,,0,,0,,0,,0,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2014-01-06,2014,1,6,,3.7,,-3.2,,0.3,,17.7,,0,,0,,0,,0,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2014-01-07,2014,1,7,,7.1,,1.1,,4.1,,13.9,,0,,12.2,,0,,12.2,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2014-01-08,2014,1,8,,7.8,,5.9,,6.9,,11.1,,0,,19.8,,0,,19.8,,,,12,,41,
-123.18,49.19,VANCOUVER INTL A,1108395,2014-01-09,2014,1,9,,7.3,,3.4,,5.4,,12.6,,0,,17,,0,,17,,,,26,,72,
-123.18,49.19,VANCOUVER INTL A,1108395,2014-01-10,2014,1,10,,7.9,,3.1,,5.5,,12.5,,0,,18.8,,0,,18.8,,,,8,,46,
-123.18,49.19,VANCOUVER INTL A,1108395,2014-01-11,2014,1,11,,9.4,,4.9,,7.2,,10.8,,0,,38.2,,0,,38.2,,,,27,,70,
-123.18,49.19,VANCOUVER INTL A,1108395,2014-01-12,2014,1,12,,6.6,,3.6,,5.1,,12.9,,0,,8.8,,0,,8.8,,,,27,,70,
-123.18,49.19,VANCOUVER INTL A,1108395,2014-01-13,2014,1,13,,12.1,,3.2,,7.7,,10.3,,0,,0,,0,,0,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2014-01-14,2014,1,14,,9.8,,5.5,,7.7,,10.3,,0,,0,,0,,0,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2014-01-15,2014,1,15,,8.3,,3.4,,5.9,,12.1,,0,,0,,0,,0,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2014-01-16,2014,1,16,,6.9,,0.1,,3.5,,14.5,,0,,0,,0,,0,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2014-01-17,2014,1,17,,5.5,,3.6,,4.6,,13.4,,0,,0,,0,,0,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2014-01-18,2014,1,18,,5.4,,1.5,,3.5,,14.5,,0,,0,,0,,0,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2014-01-19,2014,1,19,,6.7,,0.7,,3.7,,14.3,,0,,0,,0,,0,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2014-01-20,2014,1,20,,6.1,,0.3,,3.2,,14.8,,0,,0,,0,,0,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2014-01-21,2014,1,21,,6.3,,-0.6,,2.9,,15.1,,0,,0,,0,,0,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2014-01-22,2014,1,22,,7.2,,1.9,,4.6,,13.4,,0,,0,,0,,0,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2014-01-23,2014,1,23,,6,,-0.7,,2.7,,15.3,,0,,0,,0,,0,,,,,,<31,
